x-axis,WaveGen-ARB
second,Volt
1.00E-009,0.2439E+00
2.00E-009,0.2439E+00
3.00E-009,0.1844E+00
4.00E-009,0.1844E+00
5.00E-009,0.1214E+00
6.00E-009,0.0030E+00
7.00E-009,0.0030E+00
8.00E-009,0.0027E+00
9.00E-009,0.0657E+00
10.00E-009,0.0657E+00
11.00E-009,0.0632E+00
12.00E-009,0.0005E+00
13.00E-009,0.0600E+00
14.00E-009,-0.0014E+00
15.00E-009,-0.0600E+00
16.00E-009,0.0584E+00
17.00E-009,0.0008E+00
18.00E-009,0.0597E+00
19.00E-009,-0.1190E+00
20.00E-009,-0.1190E+00
21.00E-009,-0.1190E+00
22.00E-009,-0.1185E+00
23.00E-009,-0.1185E+00
24.00E-009,-0.0571E+00
25.00E-009,0.0067E+00
26.00E-009,-0.0561E+00
27.00E-009,0.0015E+00
28.00E-009,0.0015E+00
29.00E-009,0.1802E+00
30.00E-009,0.1802E+00
31.00E-009,0.1835E+00
32.00E-009,0.1858E+00
33.00E-009,0.0624E+00
34.00E-009,0.0624E+00
35.00E-009,0.0582E+00
36.00E-009,0.1211E+00
37.00E-009,0.0585E+00
38.00E-009,0.0585E+00
39.00E-009,-0.0041E+00
40.00E-009,-0.0041E+00
41.00E-009,-0.0044E+00
42.00E-009,0.0555E+00
43.00E-009,0.1203E+00
44.00E-009,0.1203E+00
45.00E-009,0.1822E+00
46.00E-009,0.1217E+00
47.00E-009,0.1843E+00
48.00E-009,0.1843E+00
49.00E-009,0.2469E+00
50.00E-009,0.2469E+00
51.00E-009,0.3048E+00
52.00E-009,0.3048E+00
53.00E-009,0.3032E+00
54.00E-009,0.1846E+00
55.00E-009,0.1242E+00
56.00E-009,0.1848E+00
57.00E-009,0.0646E+00
58.00E-009,0.0646E+00
59.00E-009,0.0646E+00
60.00E-009,0.0646E+00
61.00E-009,0.0038E+00
62.00E-009,0.0038E+00
63.00E-009,0.0641E+00
64.00E-009,0.1827E+00
65.00E-009,0.1232E+00
66.00E-009,0.0038E+00
67.00E-009,0.1240E+00
68.00E-009,0.0073E+00
69.00E-009,-0.0519E+00
70.00E-009,-0.0519E+00
71.00E-009,-0.0535E+00
72.00E-009,-0.1107E+00
73.00E-009,-0.1714E+00
74.00E-009,-0.1714E+00
75.00E-009,-0.1124E+00
76.00E-009,0.0070E+00
77.00E-009,-0.0528E+00
78.00E-009,-0.0540E+00
79.00E-009,-0.0557E+00
80.00E-009,-0.0557E+00
81.00E-009,-0.0547E+00
82.00E-009,0.0025E+00
83.00E-009,0.0632E+00
84.00E-009,0.0045E+00
85.00E-009,-0.0503E+00
86.00E-009,-0.0503E+00
87.00E-009,0.0095E+00
88.00E-009,0.1274E+00
89.00E-009,0.1883E+00
90.00E-009,0.0640E+00
91.00E-009,0.0672E+00
92.00E-009,-0.1103E+00
93.00E-009,-0.2302E+00
94.00E-009,-0.1715E+00
95.00E-009,-0.0557E+00
96.00E-009,-0.0557E+00
97.00E-009,-0.0557E+00
98.00E-009,-0.0557E+00
99.00E-009,-0.1140E+00
100.00E-009,0.0103E+00
101.00E-009,0.0080E+00
102.00E-009,0.1855E+00
103.00E-009,0.3054E+00
104.00E-009,0.1823E+00
105.00E-009,0.1823E+00
106.00E-009,0.1823E+00
107.00E-009,0.1823E+00
108.00E-009,0.1205E+00
109.00E-009,-0.0030E+00
110.00E-009,-0.0629E+00
111.00E-009,-0.0025E+00
112.00E-009,-0.1241E+00
113.00E-009,-0.2445E+00
114.00E-009,-0.1215E+00
115.00E-009,-0.2457E+00
116.00E-009,-0.2457E+00
117.00E-009,-0.3036E+00
118.00E-009,-0.2418E+00
119.00E-009,-0.2450E+00
120.00E-009,-0.3024E+00
121.00E-009,-0.3623E+00
122.00E-009,-0.3021E+00
123.00E-009,-0.2444E+00
124.00E-009,-0.2444E+00
125.00E-009,-0.1804E+00
126.00E-009,-0.3657E+00
127.00E-009,-0.3078E+00
128.00E-009,-0.3078E+00
129.00E-009,-0.1228E+00
130.00E-009,-0.0672E+00
131.00E-009,-0.0653E+00
132.00E-009,-0.0666E+00
133.00E-009,-0.0663E+00
134.00E-009,-0.1876E+00
135.00E-009,-0.1274E+00
136.00E-009,-0.0018E+00
137.00E-009,-0.0018E+00
138.00E-009,-0.0018E+00
139.00E-009,-0.0018E+00
140.00E-009,0.0601E+00
141.00E-009,-0.0028E+00
142.00E-009,0.0599E+00
143.00E-009,0.0598E+00
144.00E-009,-0.0014E+00
145.00E-009,-0.1825E+00
146.00E-009,-0.1228E+00
147.00E-009,-0.1228E+00
148.00E-009,-0.1808E+00
149.00E-009,-0.2408E+00
150.00E-009,-0.3026E+00
151.00E-009,-0.2447E+00
152.00E-009,-0.2447E+00
153.00E-009,-0.2393E+00
154.00E-009,-0.1198E+00
